請問您的生理性別（以身分證的資訊為準）？,請問您的出生年（民國，以身分證的資訊為準）？,請問您是否有實際簽署罷免立委的連署書（包含一階或二階）？,沒有參與的原因是？,若以下的價值只能選兩個，你會優先為下一代選擇什麼樣的社會？,你覺得這屆立法委員的表現破壞了哪些價值？（若超過兩個，請選兩個最主要的）,請勾選以下你贊同的論述（可複選）,請問您選區的現任立委是？,上次（2024 年 1 月 13 日）總統選舉，請問您投給誰？,上次（2024 年 1 月 13 日）區域跟原住民立委的選舉，請問您投給哪個政黨的立委？
男,85,是,,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",廖先翔（新北市）,賴清德,民眾黨
男,78,是,,"民主, 自由","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",王鴻薇（台北市）,賴清德,民進黨
女,69,是,,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",洪孟楷（新北市）,賴清德,民進黨
男,72,是,,"民主, 自由","秩序, 守法","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業",廖偉翔（台中市）,賴清德,民進黨
男,62,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"守法, 民主","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策",李坤城（新北市）,賴清德,民進黨
女,76,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"守法, 民主","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",王定宇（台南市）,賴清德,民進黨
女,79,是,,"民主, 和平","民主, 和平","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任, 以上皆不贊同",葉元之（新北市）,賴清德,其他政黨
男,82,是,,"民主, 自由","秩序, 民主","我認為部分立委依循黨意高於民意, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",涂權吉（桃園市）,賴清德,其他政黨
隱匿此資訊,79,是,,"民主, 自由","秩序, 守法","我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策",林德福（新北市）,賴清德,其他政黨
女,65,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"自由, 和平","秩序, 守法","我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委的國安政策方向，增加兩岸戰爭風險",吳琪銘（新北市）,賴清德,民進黨
男,66,是,,"民主, 自由","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",林沛祥（基隆市）,賴清德,民進黨
女,78,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",林淑芬（新北市）,賴清德,民進黨
女,81,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"守法, 和平","秩序, 守法","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險",邱議瑩（高雄市）,賴清德,民進黨
男,74,否,我有意願但沒有連署資格（包括未滿 20 歲、不具有中華民國國籍、設籍選區未滿 4 個月、依法不具有選舉權）,"民主, 自由","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策",林德福（新北市）,賴清德,民進黨
隱匿此資訊,70,是,,"民主, 平等","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委推動親中政策",洪孟楷（新北市）,賴清德,其他政黨
女,83,否,我沒有意願,"經濟發展, 民主","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我認為部分立委無端破壞議事規則",徐巧芯（台北市）,賴清德,國民黨
女,81,否,我沒有意願,"秩序, 民主","秩序, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委無端破壞議事規則, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委未落實監督政府的責任",羅廷瑋（台中市）,柯文哲,民眾黨
女,96,否,我有意願但沒有連署資格（包括未滿 20 歲、不具有中華民國國籍、設籍選區未滿 4 個月、依法不具有選舉權）,"自由, 平等","經濟發展, 秩序","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我認為部分立委推動親中政策",王世堅（台北市）,尚未有投票資格,尚未有投票資格
男,82,是,,"秩序, 自由","秩序, 守法","我不認同部分立委的問政能力, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業",羅智強（台北市）,賴清德,其他政黨
男,74,否,我的選區沒有我想罷免的對象（包括我不想罷免我選區的立委、罷免連署未成案）,"民主, 自由","民主, 自由","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",林宜瑾（台南市）,賴清德,民進黨
男,77,是,,"民主, 自由","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委的國安政策方向，增加兩岸戰爭風險, 我認為部分立委推動親中政策, 我認為部分立委未落實監督政府的責任",徐巧芯（台北市）,賴清德,其他政黨
隱匿此資訊,64,是,,"守法, 民主","守法, 民主","我不認同部分立委的個人行為（說謊、暴力、草包、惡霸、關說等）, 我不認同部分立委的問政能力, 我認為部分立委依循黨意高於民意, 我認為部分立委立法品質不佳，部分被判定違憲, 我認為部分立委無端破壞議事規則, 我認為部分立委審查總預算案缺乏專業, 我認為部分立委忽視選區需求，忽略地方建設, 我認為部分立委推動親中政策",賴士葆（台北市）,賴清德,民進黨
